,country,overallScore
0,Myanmar,58
1,United States,58
2,New Zealand,57
3,Ireland,56
4,Australia,56
5,Canada,55
6,United Kingdom,54
7,Netherlands,53
8,Sri Lanka,51
9,Indonesia,50
10,Malta,47
11,Kenya,47
12,Switzerland,45
13,Austria,45
14,United Arab Emirates,45
15,Liberia,44
16,Denmark,44
17,Turkmenistan,43
18,Germany,43
19,Sierra Leone,42
20,Thailand,42
21,Nigeria,42
22,Cyprus,41
23,Finland,41
24,Uzbekistan,41
25,Iran,41
26,Luxembourg,40
27,Sweden,40
28,Haiti,40
29,Guatemala,40
30,Israel,39
31,Dominican Republic,39
32,Zambia,39
33,Malaysia,39
34,Philippines,39
35,Slovenia,38
36,Mongolia,38
37,Costa Rica,38
38,Malawi,38
39,Ghana,38
40,Uganda,38
41,Chile,37
42,Tajikistan,36
43,Honduras,36
44,Belgium,36
45,South Africa,36
46,Panama,35
47,Singapore,35
48,Taiwan,35
49,Colombia,35
50,Guinea,34
51,Saudi Arabia,34
52,Iraq,34
53,Kyrgyzstan,33
54,Cameroon,33
55,Nepal,33
56,Italy,33
57,Paraguay,32
58,Spain,32
59,South Korea,32
60,Tanzania,32
61,Bolivia,31
62,Afghanistan,31
63,Botswana,30
64,Uruguay,30
65,Nicaragua,30
66,Lebanon,30
67,France,30
68,Zimbabwe,29
69,Pakistan,29
70,Senegal,28
71,Peru,28
72,Argentina,28
73,Mexico,28
74,Brazil,28
75,Gabon,27
76,Republic of the Congo,27
77,Moldova,26
78,Kazakhstan,26
79,Morocco,26
80,Vietnam,26
81,Ethiopia,26
82,Bangladesh,26
83,India,26
84,Estonia,25
85,Macedonia,25
86,Bosnia and Herzegovina,25
87,Mauritania,25
88,Slovakia,25
89,El Salvador,25
90,Belarus,25
91,Portugal,25
92,Jordan,25
93,Chad,25
94,Burkina Faso,25
95,Poland,25
96,Azerbaijan,24
97,Tunisia,24
98,Cambodia,24
99,Ecuador,24
100,Romania,24
101,Mali,24
102,Niger,24
103,Ukraine,24
104,Albania,23
105,Hungary,23
106,Benin,23
107,Venezuela,23
108,Egypt,23
109,Japan,23
110,Latvia,22
111,Czech Republic,22
112,Armenia,21
113,Georgia,21
114,Croatia,21
115,Rwanda,21
116,Madagascar,21
117,DR Congo,21
118,Russia,21
119,Montenegro,20
120,Lithuania,19
121,Palestine,19
122,Bulgaria,19
123,Serbia,19
124,Yemen,17
125,Greece,16
126,China,16
